COSING Ref No,INCI name,INN name,Ph. Eur. Name,CAS No,EC No,Chem/IUPAC Name / Description,Restriction,Function,Update Date
8691500%,ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/ACTINIDIA ARGUTA FRUIT/AKEBIA QUINATA FRUIT/CORYLUS HETEROPHYLLA FRUIT/DIOSPYROS LOTUS FRUIT/MORUS ALBA FRUIT/PRUNUS DAVIDIANA FRUIT/PYRUS LINDLEJI FRUIT/RUBUS CRATAEGIFOLIUS FRUIT/VITIS AMURENSIS FRUIT FERMENT FILTRATE,,, -, -,"Aspergillus/Lactobacillus/Saccharomyces/Actinidia Arguta Fruit/Akebia Quinata Fruit/Corylus Heterophylla Fruit/Diospyros Lotus Fruit/Morus Alba Fruit/Prunus Davidiana Fruit/Pyrus Lindleji Fruit/Rubus Crataegifolius Fruit/Vitis Amurensis Fruit Ferment Filtrate is a filtrate of the product obtained by the fermentation of the fruit of Actinidia arguta, Akebia quinata, Corylus heterophylla, Diospyros lotus, Morus alba, Prunus davidiana, Pyrus lindleji, Rubus crataegifolius and Vitis amurensis, by the microorganisms, Aspergillus, Lactobacillus and Saccharomyces",,SKIN CONDITIONING,4046600%
9027600%,ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/BARLEY/RICE/SOYBEAN SEED FERMENT FILTRATE,,, , ,"Aspergillus/Lactobacillus/Saccharomyces/Barley/Rice/Soybean Seed Ferment Filtrate is a filtrate of the product obtained by the fermentation of the seeds of Glycine max (soybean), Oryza sativa (rice) and Hordeum vulgare (barley) by the microorganisms, Aspergillus, Lactobacillus and Saccharomyces. 
",,"HUMECTANT, SKIN CONDITIONING",4139400%
9004600%,ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/ONION/CELERY/CABBAGE/GINGER/GARLIC/POTATO/BRASSICA OLERACEA ACEPHALA/ALOE BARBADENSIS/LAMINARIA JAPONICA/UNDARIA PINNATIFIDA/IPOMOEA BATATAS/OENANTHE JAVANICA/NELUMBO NUCIFERA/ALLIUM TUBEROSUM/ALLIUM FISTULOSUM/DIOSCOREA BATATAS/ACTINIDIA ARGUTA/COLOCASIA ESCULENTA/ARCTIUM LAPPA/LENTINULA EDODES/ROOT/FRUIT FERMENT FILTRATE EXTRACT,,, , ,"This is the extract of a filtrate of the product obtained by the fermentation of the whole plants:  Allium cepa  (onion),  Apium graveolens  (celery),  Zingiber officinalis  (ginger),  Allium sativum  (garlic),  Solanum tuberosum  (potato),  Brassica oleracea acephala, Aloe barbadensis, Laminaria japonica, Undaria pinnatifida, Oenanthe javanica, Nelumbo nucifera, Allium tuberosum, Allium Fistulosum, Dioscorea batatas, Actinidia arguta, Colocasia esculenta, Arctium lappa  ; the fungi,  Lentinula edodes  ; the roots of  Chicorium intybus  (chicory),  Raphanus sativus  (radish), and  Daucus carota  (carrot); and the fruit of  Cucurbita pepo  (pumpkin),  Vitis vinifera  (grape),  Pyrus pyrifolia  ,  Solanum melongena  (eggplant),  Prunus salicina  ,  Castanea crenata  (chestnut),  Prunus persica  (peach),  Citrus reticulata  (tangerine),  Pyrus malus  (apple),  Zizyphus jujuba  (jujube), and  Ficus carica  (fig) by the microorganisms,  Aspergillus, Lactobacillus  and  Saccharomyces",,SKIN CONDITIONING,4268900%
8657300%,ASPERGILLUS/LACTOBACILLUS/SACCHAROMYCES/RICE BRAN FERMENT EXTRACT FERMENT FILTRATE,,, -, -,"Aspergillus/Lactobacillus/Saccharomyces/Rice Bran Ferment Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of an extract of rice bran ferment by the microorganisms, Aspergillus, Lactobacillus and Saccharomyces",,"ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING",4046600%
9740300%,ASPERGILLUS/MALUS DOMESTICA FRUIT/RICE SEED FERMENT FILTRATE,,, , ,Aspergillus/Malus Domestica Fruit/Rice Seed Ferment Filtrate is a filtrate of the product obtained by the fermentation of the fruit of Malus domestica and the seeds of Oryza sativa by the microorganism Aspergillus. ,,HUMECTANT,4374900%
9457000%,ASPERGILLUS/MILLET SEED/RICE HULL FERMENT FILTRATE,,, , ,"Aspergillus/Millet Seed/Rice Hull Ferment Filtrate is a filtrate of the product obtained by the fermentation of the seeds of  Panicum miliaceum  (millet) and the hull of  Oryza sativa  (rice), by the microorganism  Aspergillus. ",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4262100%
9222100%,ASPERGILLUS/MOLASSES FERMENT FILTRATE,,, , ,"Aspergillus/Molasses Ferment Filtrate is a filtrate of the product obtained by the fermentation of Molasses by the microorgansim, Aspergillus",,SKIN CONDITIONING,4197600%
9151900%,ASPERGILLUS/PAEONIA SUFFRUTICOSA BARK/HONEYSUCKLE FLOWER/FORSYTHIA FRUIT/(ASTRAGALUS MEMBRANACEUS/GENTIANA SCABRA/LICORICE/REHMANNIA GLUTINOSA/RHEUM PALMATUM/SCROPHULARIA BUERGERIANA) ROOT/(CASTOR/RICE) SEED FERMENT EXTRACT ,,, , ,"This is the extract of the product obtained by the fermentation of the bark of Paeonia suffruticosa ; the flower of Lonicera japonica (honeysuckle); the fruit of Forsythia suspensa (forsythia); the roots of Astragalus membranaceus , Gentiana scabra , Glycyrrhiza glabra (licorice), Rehmannia glutinosa (rehmannia), Rheum palmatum , and Scrophularia buergeriana ; the seeds of Oryza sativa (rice), and Ricinus communis (castor), by the microorganism Aspergillus. ",,SKIN CONDITIONING,4304700%
9608300%,ASPERGILLUS/PANAX GINSENG ROOT FERMENT EXTRACT FILTRATE,,, , ,"Aspergillus/Panax Ginseng Root Ferment Extract Filtrate is a filtrate of the extract of the product obtained by the fermentation of Panax Ginseng Root by the microorganism, Aspergillus",,"HUMECTANT, SKIN CONDITIONING",4320700%
9715000%,ASPERGILLUS/PEAR LEAF FERMENT EXTRACT,,, , ,"Aspergillus/Pear Leaf Ferment Extract is the extract of the product obtained by the fermentation of the leaves of Pyrus pyrifolia, by the microorganism Aspergillus.",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4355300%
9602700%,ASPERGILLUS/PICHIA/SORGHUM BICOLOR FERMENT LEES EXTRACT,,, , ,"Aspergillus/Pichia/Sorghum Bicolor Ferment Lees Extract is the extract of the residue obtained by the fermentation of Sorghum bicolor by the microorganisms, Aspergillus and Pichia.",,"ANTIOXIDANT, SKIN CONDITIONING",4320700%
9366000%,ASPERGILLUS/POTATO STARCH/WHEAT FLOUR FERMENT FILTRATE,,, , ,"Aspergillus/Potato Starch/Wheat Flour Ferment Filtrate is a filtrate of the product obtained by the fermentation of wheat flour and potato starch by the microorganism,  Aspergillus.",,"ANTI-SEBUM, ANTIMICROBIAL",4244600%
9798100%,ASPERGILLUS/PRUNUS SERRULATA FLOWER FERMENT EXTRACT,,, , ,Aspergillus/Prunus Serrulata Flower Ferment Extract is the extract of the product obtained by the fermentation of the flowers of Prunus serrulata by the microorganism Aspergillus. ,,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4395100%
9769600%,ASPERGILLUS/PRUNUS YEDOENSIS FLOWER FERMENT EXTRACT,,, , ,"Aspergillus/Prunus Yedoensis Flower Ferment Extract is the extract of the product obtained by the fermentation of the flowers of Prunus yedoensis, by the microorganism Aspergillus.",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4374900%
9769500%,ASPERGILLUS/PRUNUS YEDOENSIS LEAF FERMENT EXTRACT,,, , ,"Aspergillus/Prunus Yedoensis Leaf Ferment Extract is the extract of the product obtained by the fermentation of the leaves of Prunus yedoensis, by the microorganism Aspergillus.",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4374900%
9869500%,ASPERGILLUS/RASPBERRY FRUIT/RICE FERMENT FILTRATE,,, , ,Aspergillus/Raspberry Fruit/Rice Ferment Filtrate,,"SKIN CONDITIONING - EMOLLIENT, SKIN CONDITIONING - HUMECTANT",4411200%
9648600%,ASPERGILLUS/RHINACANTHUS NASUTUS LEAF/RICE FERMENT FILTRATE,,, , , Aspergillus/Rhinacanthus Nasutus Leaf/Rice Ferment Filtrate is a filtrate of the product obtained by the fermention of the leaves of Rhinacanthus nasutus and the grains of Oryza sativa by the microorganism Aspergillus.,,"HUMECTANT, SKIN CONDITIONING",4355300%
9556500%,ASPERGILLUS/RICE BRAN FERMENT EXTRACT,,, , ,"Aspergillus/Rice Bran Ferment Extract is the extract of the product obtained by the fermentation of Oryza Sativa (Rice) Bran (q.v.) by the microorganism,  Aspergillus",,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4300700%
8702100%,ASPERGILLUS/RICE FERMENT,,, -, -,"Aspergillus/Rice Ferment is the product obtained by the fermentation of rice by the microorganism, Aspergillus",,HUMECTANT,4046600%
8578600%,ASPERGILLUS/RICE FERMENT EXTRACT,,, -, -,"Aspergillus/Rice Ferment Extract is the extract of the product obtained by the fermentation Oryza sativa (rice) by the microorganism, Aspergillus",,"HUMECTANT, SKIN CONDITIONING",4046600%
5454700%,ASPERGILLUS/RICE FERMENT FILTRATE,,, , ,"Aspergillus/Rice Ferment Filtrate is a filtrate of the fermentation product of rice by the microorganism, Aspergillus",,SKIN CONDITIONING,4046600%
9113300%,ASPERGILLUS/RICE FERMENT LEES EXTRACT FILTRATE,,, , ,"Aspergillus/Rice Ferment Lees Extract Filtrate is a filtrate of the extract of the lees obtained through the fermentation of rice ( Oryza sativa ) by the microorganism, Aspergillus. ",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4184300%
8692100%,ASPERGILLUS/RICE GERM FERMENT EXTRACT FILTRATE,,, -, -,"Aspergillus/Rice Germ Ferment Extract Filtrate is a filtrate of the extract of the product obtained by the fermentation of the germ of Oryza sativa (rice) by the microogranism, Aspergillus",,SKIN CONDITIONING - EMOLLIENT,4046600%
9436400%,ASPERGILLUS/RICE/RICE BRAN FERMENT FILTRATE,,, , ,"Aspergillus/Rice/Rice Bran Ferment Filtrate is the filtrate of the product obtained by the fermentation of the grains of  Oryza sativa  (rice), and Oryza Sativa (Rice) Bran by the microorganism, Aspergillus",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4262100%
9579600%,ASPERGILLUS/RICE/SOYMILK FERMENT FILTRATE,,, , ,"Aspergillus/Rice/Soymilk Ferment Filtrate is a filtrate of the product obtained by the fermentation of the grains of Oryza sativa and Soymilk by the microorganism, Aspergillus. ",,SKIN CONDITIONING,4320700%
9690300%,ASPERGILLUS/RICE/WOOL EXTRACT FERMENT FILTRATE,,, , ,Aspergillus/Rice/Wool Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of wool extract and the grains of Oryza sativa by the microorganism Aspergillus. ,,SKIN CONDITIONING,4355300%
9850600%,ASPERGILLUS/ROSA DAMASCENA LEAF/RICE FERMENT FILTRATE,,, , ,Aspergillus/Rosa Damascena Leaf/Rice Ferment Filtrate is a filtrate of the product obtained by the fermentation of the leaves of Rosa damascena and Oryza Sativa (Rice) by the microorganism Aspergillus. ,,SKIN CONDITIONING,4395100%
8749900%,ASPERGILLUS/SACCHAROMYCES RICE FERMENT LEES ,,, -, -,"Aspergillus/Saccharomyces Rice Ferment Lees is the residue obtained by the fermentation of Oryza sativa (rice) by the microorganisms, Aspergillus and Saccharomyces",,SKIN CONDITIONING - EMOLLIENT,4046600%
8725000%,ASPERGILLUS/SACCHAROMYCES/APPLE FRUIT/MELON FRUIT/BANANA FRUIT/GRAPE/SUCROSE FERMENT FILTRATE,,, -, - ,"Aspergillus/Saccharomyces/Apple Fruit/Melon Fruit/Banana Fruit/Grape/Sucrose Ferment Filtrate is a filtrate of the product obtained by the fermentation of the fruit of Pyrus malus (apple), Cucumis melo (melon), Musa paradisiaca (banana) and Vitis vinifera (grape), by the microrganisms, Aspergillus and Saccharomyces",,HUMECTANT,4046600%
8392900%,ASPERGILLUS/SACCHAROMYCES/BARLEY FERMENT EXTRACT FILTRATE,,, -, -,"Aspergillus/Saccharomyces/Barley Ferment Extract Filtrate is a filtrate of the extract of the product obtained by the fermentation of Hordeum vulgare (barley) by the microorganisms, Aspergillus , and Saccharomyces",,HUMECTANT,4046600%
8631100%,ASPERGILLUS/SACCHAROMYCES/BARLEY LEES FERMENT FILTRATE,,, -, -,"Aspergillus/Saccharomyces/Barley Lees Ferment Filtrate is a filtrate of the fermentation product of barley lees by the microorganisms, Aspergillus and Saccharomyces",,SKIN CONDITIONING,4046600%
8299800%,ASPERGILLUS/SACCHAROMYCES/BARLEY SEED FERMENT EXTRACT,,, -, -,"Aspergillus/Saccharomyces/Barley Seed Ferment Extract is the extract of the product obtained by the fermentation of the seeds of Hordeum vulgare (barley) by the microorganisms, Aspergillus and Saccharomyces",,SKIN CONDITIONING,4046600%
8299700%,ASPERGILLUS/SACCHAROMYCES/BARLEY SEED FERMENT FILTRATE EXTRACT,,, -, -,"Aspergillus/Saccharomyces/Barley Seed Ferment Filtrate Extract is the extract of a filtrate of the product obtained by the fermentation of the seeds of Hordeum vulgare (barley) by the microorganisms, Aspergillus and Saccharomyces",,SKIN CONDITIONING,4046600%
9033000%,ASPERGILLUS/SACCHAROMYCES/CHICORY ROOT FERMENT LEES EXTRACT,,, , ,"Aspergillus/Saccharomyces/Chicory Root Ferment Lees Extract is the extract of the residue obtained by the fermentation of the roots of Cichorium intybus (chicory) by the microorganisms, Aspergillus and Saccharomyces. 
",,SKIN CONDITIONING,4139400%
8636700%,ASPERGILLUS/SACCHAROMYCES/GASTRODIA ELATA ROOT EXTRACT FERMENT FILTRATE,,, -, -,"Aspergillus/Saccharomyces/Gastrodia Elata Root Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of Gastrodia Elata Root Extract by the microorganisms, Aspergillus and Saccharomyces",,SKIN CONDITIONING,4046600%
8637400%,ASPERGILLUS/SACCHAROMYCES/GLYCYRRHIZA URALENSIS ROOT EXTRACT FERMENT FILTRATE,,, -, -,"Aspergillus/Saccharomyces/Glycyrrhiza Uralensis Root Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of Glycyrrhiza Uralensis Root Extract by the microorganisms, Aspergillus and Saccharomyces",,SKIN CONDITIONING,4046600%
9838500%,ASPERGILLUS/SACCHAROMYCES/HONEY/ORIGANUM MAJORANA LEAF/RICE FERMENT LEES EXTRACT,,, , ,"Aspergillus/Saccharomyces/Honey/Origanum Majorana Leaf/Rice Ferment Lees Extract is the extract of the residue obtained from the fermentation of Honey, the leaves of Origanum majorana, and the grains of Oryza sativa, by the microorganisms Aspergillus and Saccharomyces. ",,"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING",4395100%
8232600%,ASPERGILLUS/SACCHAROMYCES/IPOMOEA BATATAS ROOT FERMENT FILTRATE,,, -, -,"Aspergillus/Saccharomyes/Ipomoea Batatas Root Ferment Filtrate is a filtrate of the fermentation product of the roots of Ipomoea batatas by the microorgansms, Aspergillus and Saccharomyces cerevisiae",,"HUMECTANT, SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4087700%
8826500%,ASPERGILLUS/SACCHAROMYCES/IPOMOEA BATATAS ROOT FERMENT LEES,,, -, -,"Aspergillus/Saccharomyces/Ipomoea Batatas Root Ferment Lees is the residue obtained by the fermentation of the roots of Ipomoea batatas by the microorganisms, Aspergillus and Saccharomyces. 
",,"SKIN CONDITIONING, SKIN CONDITIONING - EMOLLIENT",4087700%
8896400%,ASPERGILLUS/SACCHAROMYCES/IPOMOEA BATATAS ROOT FERMENT LEES EXTRACT,,, , ,"Aspergillus/Saccharomyces/Ipomoea Batatas Root Ferment Lees Extract is the extract of Aspergillus/Saccharomyces/Ipomoea Batatas Root Ferment Lees. 
",,"HUMECTANT, SKIN CONDITIONING",4110100%
9838600%,ASPERGILLUS/SACCHAROMYCES/MORUS ALBA FRUIT/RICE FERMENT LEES EXTRACT,,, , ,"Aspergillus/Saccharomyces/Morus Alba Fruit/Rice Ferment Lees Extract is the extract of the residue obtained from the fermentation of the fruit of Morus alba and the grains of Oryza sativa, by the microorganisms Aspergillus and Saccharomyces. ",,"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING",4395100%
9669600%,ASPERGILLUS/SACCHAROMYCES/PRUNUS MUME FRUIT/RICE FERMENT LEES EXTRACT,,, , ,"Aspergillus/Saccharomyces/Prunus Mume Fruit/Rice Ferment Lees Extract is the extract of the residue obtained by the fermentation of Prunus Mume Fruit and the grains of rice, Oryza sativa by the microorganisms Aspergillus and Saccharomyces. ",,"HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING",4355300%
8636400%,ASPERGILLUS/SACCHAROMYCES/PUMPKIN SEED FERMENT FILTRATE,,, -, -,"Aspergillus/Saccharomyces/Pumpkin Seed Ferment Filtrate is a filtrate of the product obtained by the fermentation of the seeds of Cucurbita pepo by the microorganisms, Aspergillus and Saccharomyces",,SKIN CONDITIONING,4046600%
8392800%,ASPERGILLUS/SACCHAROMYCES/RICE FERMENT EXTRACT FILTRATE,,, -, -,"Aspergillus/Saccharomyces/Rice Ferment Extract Filtrate is a filtrate of the extract obtained from the fermentation of Oryza sativa (rice) by the microorganisms, Aspergillus , and Saccharomyces",,HUMECTANT,4046600%
5462200%,ASPERGILLUS/SACCHAROMYCES/RICE FERMENT FILTRATE,,, -, -,"Aspergillus/Saccharomyces/Rice Ferment Filtrate is a filtrate of the fermentation product of rice by the microorganisms, Aspergillus and Saccharomyces",,"HUMECTANT, SKIN CONDITIONING",4046600%
8724900%,ASPERGILLUS/SACCHAROMYCES/RICE LEES FERMENT FILTRATE,,, -, -,"Aspergillus/Saccharomyces/Rice Lees Ferment Filtrate is a filtrate of the fermentation product of rice lees by the microorganisms, Aspergillus and Saccharomyces",,"HUMECTANT, SKIN CONDITIONING",4046600%
8848200%,ASPERGILLUS/SACCHAROMYCES/TETRAGENOCOCCUS/RICE FERMENT FILTRATE ,,, -, -,"Aspergillus/Saccharomyces/Tetragenococcus/Rice Ferment Filtrate is a filtrate of the product obtained by the fermentation of Oryza sativa by the microorganisms, Aspergillus, Saccharomyces and Tetragenococcus. 
",,"HUMECTANT, SKIN CONDITIONING",4087700%
8636300%,ASPERGILLUS/SACCHARUM OFFICINARUM STEM EXTRACT FERMENT FILTRATE,,, -, -,"Aspergillus/Saccharum Officinarum Stem Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of an extract of the stems of Saccharum officinarum by the microorganism, Aspergillus",,HUMECTANT,4046600%
9685100%,ASPERGILLUS/SIRAITIA GROSVENORII FRUIT/EUCOMMIA ULMOIDES LEAF/COIX LACRYMA-JOBI MA-YUEN SEED FERMENT FILTRATE,,, , ,"Aspergillus/Siraitia Grosvenorii Fruit/Eucommia Ulmoides Leaf/Coix Lacryma-Jobi Ma-yuen Seed Ferment Filtrate is a filtrate of the product obtained by the fermentation of the fruit of Siraitia grosvenorii , the leaves of Eucommia ulmoides and the seeds of Coix lacryma-jobi ma-yuen by the microorganism, Aspergillus. ",,"HAIR CONDITIONING, SKIN CONDITIONING",4355300%
9344000%,ASPERGILLUS/SNAIL SECRETION FILTRATE FERMENT FILTRATE,,, , ,"Aspergillus/Snail Secretion Filtrate Ferment Filtrate is a filtrate of the product obtained by the fermentation of Snail Secretion Filtrate by the microorganism,  Aspergillus. ",,SKIN CONDITIONING,4244600%
9693500%,ASPERGILLUS/SORGHUM BICOLOR FERMENT LEES EXTRACT,,, , ,Aspergillus/Sorghum Bicolor Ferment Lees Extract is the extract of the residue isolated after the fermentation of the grains of Sorghum bicolor by the microorganism Aspergillus. ,,"ANTIOXIDANT, HAIR CONDITIONING, SKIN CONDITIONING",4355300%
9566400%,ASPERGILLUS/SORGHUM BICOLOR LEAF/STEM EXTRACT FERMENT FILTRATE,,, , ,"Aspergillus/Sorghum Bicolor Leaf/Stem Extract Ferment Filtrate is a filtrate of the product obtained by the fermentation of Sorghum Bicolor Leaf/Stem Extract by the microorganism, Aspergillus.",,"ANTIOXIDANT, SKIN CONDITIONING",4320700%
8895800%,ASPERGILLUS/SOYBEAN GERM FERMENT,,, , ,"Aspergillus/Soybean Germ Ferment is the product obtained by the fermentation of the germ of Glycine max (soybean) by the microorganism, Aspergillus. 
",,ANTIOXIDANT,4110100%
8895900%,ASPERGILLUS/SOYBEAN GERM FERMENT EXTRACT,,, , ,"Aspergillus/Soybean Germ Ferment Extract is the extract of Aspergillus/Soybean Germ Ferment. 
",,ANTIOXIDANT,4110100%
9022700%,ASPERGILLUS/SOYBEAN GERM FERMENT FILTRATE,,, , ,"Aspergillus/Soybean Germ Ferment Filtrate is a filtrate of the product obtained by the fermentation of the germ of Glycine max (soybean) by the microorganism, Aspergillus. 
",,"HAIR CONDITIONING, SKIN CONDITIONING",4139300%
9396400%,ASPERGILLUS/SOYBEAN SEED EXTRACT FERMENT EXTRACT FILTRATE,,, , , Aspergillus/Soybean Seed Extract Ferment Extract Filtrate is a filtrate of an extract of the product obtained by the fermentation of Glycine Soja (Soybean) Seed Extract by the microorganism  Aspergillus. ,,HUMECTANT,4251500%
9037700%,ASPERGILLUS/SOYBEAN SEED FERMENT FILTRATE,,, , ,"Aspergillus/Soybean Seed Ferment Filtrate is the filtrate of the product obtained by the fermentation of Glycine Soja (Soybean) Seed by the microorganism, Aspergillus. 
",,"HUMECTANT, SKIN CONDITIONING",4144500%
8931400%,ASPERGILLUS/SOYBEAN SHOOT FERMENT EXTRACT,,, , ,"Aspergillus/Soybean Shoot Ferment Extract is the extract of the product obtained by the fermentation of the shoots of Glycine max (soybean) by the microorganism, Aspergillus. 
",,SKIN CONDITIONING,4119000%
5462400%,ASPERGILLUS/SOYBEAN/WHEAT GERM/CAMELLIA SINENSIS LEAF/JOB'S TEARS SEED/RICE GERM/SESAME SEED FERMENT,,, -, - ,"Aspergillus/Soybean/Wheat Germ/Camellia Sinensis Leaf/Job's Tears Seed/Rice Germ/Sesame Seed Ferment is a product of the fermentation of soybean, Triticum Vulgare (Wheat) Germ, Camellia Sinensis Leaf, Coix Lacryma-Jobi (Job's Tears) Seed, rice germ and Sesamum Indicum (Sesame) Seed by the microorganism, Aspergillus",,HUMECTANT,4046600%
5462500%,ASPERGILLUS/SOYBEAN/WHEAT GERM/CAMELLIA SINENSIS LEAF/JOB'S TEARS SEED/RICE GERM/SESAME SEED FERMENT EXTRACT,,, -, -,Aspergillus/Soybean/Wheat Germ/Camellia Sinensis Leaf/Job's Tears Seed/Rice Germ/Sesame Seed Ferment Extract is the extract of Aspergillus/Soybean/Wheat Germ/Camellia Sinensis Leaf/Job's Tears Seed/Rice Germ/Sesame Seed Ferment,,HUMECTANT,4046600%
9723500%,ASPERGILLUS/TANGERINE PEEL FERMENT EXTRACT FILTRATE,,, , ,Aspergillus/Tangerine Peel Ferment Extract Filtrate is a filtrate of the extract of the product obtained by the fermentation of the peel of Citrus reticulata by the microorganism Aspergillus.,,"HAIR CONDITIONING, HUMECTANT",4374900%
